gamut,checkpoint,weighted_stress,unweighted_stress,retained_pairs,mapped_pairs,mask_sha256
srgb,parent,29.281170389187118,31.055225108098146,3331,0,c95b0a38cd038fff9163f0d38ed4924addb95b1156283cf4a2ed65909efa2251
srgb,boundary,29.281170389187118,31.055225108098146,3331,0,c95b0a38cd038fff9163f0d38ed4924addb95b1156283cf4a2ed65909efa2251
srgb,balanced,29.244797611944573,30.9648383809415,3331,0,c95b0a38cd038fff9163f0d38ed4924addb95b1156283cf4a2ed65909efa2251
srgb,metric,29.107047807813768,30.712588175217103,3331,0,c95b0a38cd038fff9163f0d38ed4924addb95b1156283cf4a2ed65909efa2251
full,parent,30.219765761581534,32.48447300671502,3813,0,94a5da7edf89cb2a7733bc13fcb0a5a44453a86a9955a9d7d204858418c7a6b9
full,boundary,30.20868640009412,32.46536479960194,3813,0,94a5da7edf89cb2a7733bc13fcb0a5a44453a86a9955a9d7d204858418c7a6b9
full,balanced,30.161428514849042,32.36964573360686,3813,0,94a5da7edf89cb2a7733bc13fcb0a5a44453a86a9955a9d7d204858418c7a6b9
full,metric,29.94855464531939,32.127879751619446,3813,0,94a5da7edf89cb2a7733bc13fcb0a5a44453a86a9955a9d7d204858418c7a6b9
