model,board,dataset,score,mapped_points,rejected_points,exact_input_support
metric-srgb,measurement,brown_macadam_1949_ellipsoids,0.47012921379777917,1045,0,False
metric-srgb,measurement,huang_2012_cielab_ellipses,0.3339957704605564,34,0,False
metric-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3606342594546837,16,0,False
metric-srgb,measurement,hong_2025_ellipsoids,0.26298327664240506,0,0,True
metric-srgb,measurement,bfd,39.06001452656141,843,0,False
metric-srgb,measurement,leeds,27.455547455732386,0,0,True
metric-srgb,measurement,witt,24.09900248141927,4,0,False
metric-srgb,measurement,rit,34.03601591417461,51,0,False
metric-srgb,measurement,macadam,28.160835363920285,3,0,False
parent-full,generation,hung_berns,3.397949177217452,5,0,False
parent-full,generation,ebner_fairchild,2.242868894705369,0,0,True
parent-full,generation,munsell,3.8162200642434185,0,0,True
parent-full,generation,xiao_unique_hues,1.7425659709829697,0,0,True
parent-full,generation,osa_ucs_1974,0.2901087147421342,0,0,True
parent-full,measurement,macadam1942,0.34671393288659486,0,0,True
parent-full,measurement,luo_rigg_ellipses,0.3247715989584314,0,0,True
parent-full,measurement,alder1982,0.328289719370738,0,0,True
parent-full,measurement,regan_1994_cvd_ellipses,0.23163498092495668,0,0,True
parent-full,measurement,koenderink_2026_3d_metric_field,0.3864784044695207,0,0,True
parent-full,measurement,brown_1957_12obs_ellipsoids,0.35283163127076056,191,0,False
parent-full,measurement,wyszecki_fielder_1971_ellipsoids,0.325616800702374,41,0,False
parent-full,measurement,brown_macadam_1949_ellipsoids,0.34331345002163455,378,0,False
parent-full,measurement,huang_2012_cielab_ellipses,0.30952184838015834,0,0,True
parent-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.34286556047979416,0,0,True
parent-full,measurement,hong_2025_ellipsoids,0.3014736773395226,0,0,True
parent-full,measurement,bfd,33.085089047696506,0,0,True
parent-full,measurement,leeds,27.23144712832876,0,0,True
parent-full,measurement,witt,22.725494855828074,0,0,True
parent-full,measurement,rit,29.564720240820293,0,0,True
parent-full,measurement,macadam,32.80250387056694,0,0,True
boundary-full,generation,hung_berns,3.398766912630055,5,0,False
boundary-full,generation,ebner_fairchild,2.241444635339662,0,0,True
boundary-full,generation,munsell,3.814760894130379,0,0,True
