model,board,dataset,score,mapped_points,rejected_points,exact_input_support
balanced-full,measurement,macadam1942,0.3467139328865956,0,0,True
balanced-full,measurement,luo_rigg_ellipses,0.32477159895843155,0,0,True
balanced-full,measurement,alder1982,0.3282897193707388,0,0,True
balanced-full,measurement,regan_1994_cvd_ellipses,0.23163498092495668,0,0,True
balanced-full,measurement,koenderink_2026_3d_metric_field,0.3864784044695207,0,0,True
balanced-full,measurement,brown_1957_12obs_ellipsoids,0.3528316312707606,191,0,False
balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.325616800702374,41,0,False
balanced-full,measurement,brown_macadam_1949_ellipsoids,0.34331345002163455,378,0,False
balanced-full,measurement,huang_2012_cielab_ellipses,0.30952184838015695,0,0,True
balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.34286556047979416,0,0,True
balanced-full,measurement,hong_2025_ellipsoids,0.3014736773395232,0,0,True
balanced-full,measurement,bfd,33.08508904769661,0,0,True
balanced-full,measurement,leeds,27.23144712833026,0,0,True
balanced-full,measurement,witt,22.72549485582818,0,0,True
balanced-full,measurement,rit,29.56472024082012,0,0,True
balanced-full,measurement,macadam,32.80250387056694,0,0,True
gentle-full,generation,hung_berns,3.3979491772174533,5,0,False
gentle-full,generation,ebner_fairchild,2.2428688947053694,0,0,True
gentle-full,generation,munsell,3.8162200642434128,0,0,True
gentle-full,generation,xiao_unique_hues,1.7425659709829713,0,0,True
gentle-full,generation,osa_ucs_1974,0.2750899018149533,0,0,True
gentle-full,measurement,macadam1942,0.33275156342168005,0,0,True
gentle-full,measurement,luo_rigg_ellipses,0.3121094261945972,0,0,True
gentle-full,measurement,alder1982,0.32059921929872864,0,0,True
gentle-full,measurement,regan_1994_cvd_ellipses,0.22726530261495476,0,0,True
gentle-full,measurement,koenderink_2026_3d_metric_field,0.39018061762813805,0,0,True
gentle-full,measurement,brown_1957_12obs_ellipsoids,0.35305283304939106,191,0,False
gentle-full,measurement,wyszecki_fielder_1971_ellipsoids,0.321311932061107,41,0,False
gentle-full,measurement,brown_macadam_1949_ellipsoids,0.3442306821489166,378,0,False
gentle-full,measurement,huang_2012_cielab_ellipses,0.3157381987449126,0,0,True
gentle-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.32591221668249637,0,0,True
gentle-full,measurement,hong_2025_ellipsoids,0.29907820013509273,0,0,True
gentle-full,measurement,bfd,32.31776650759858,0,0,True
gentle-full,measurement,leeds,27.11789551982724,0,0,True
gentle-full,measurement,witt,22.89447098561977,0,0,True
gentle-full,measurement,rit,29.376475385839,0,0,True
gentle-full,measurement,macadam,32.46839214280176,0,0,True
