model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
old-balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.2861655339157035,False,0,41,0
old-balanced-full,measurement,brown_macadam_1949_ellipsoids,0.3078930810023531,False,0,378,138
old-balanced-full,measurement,huang_2012_cielab_ellipses,0.3072149572394169,True,0,0,0
old-balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.32879398172822333,True,0,0,0
old-balanced-full,measurement,hong_2025_ellipsoids,0.31411990652699295,True,0,0,0
old-balanced-full,measurement,bfd,29.189331289020316,True,,,
old-balanced-full,measurement,leeds,26.817569617216108,True,,,
old-balanced-full,measurement,witt,24.102805078173,True,,,
old-balanced-full,measurement,rit,26.99200976021656,True,,,
old-balanced-full,measurement,macadam,30.98659617516613,True,0,0,0
balanced-full,generation,hung_berns,,False,0,5,0
balanced-full,generation,ebner_fairchild,2.242868894705369,True,0,0,0
balanced-full,generation,munsell,3.8162200642434185,True,0,0,0
balanced-full,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
balanced-full,generation,osa_ucs_1974,0.281138030611101,True,0,0,0
balanced-full,measurement,macadam1942,0.3036283412268934,True,0,0,25
balanced-full,measurement,luo_rigg_ellipses,0.3036287002806525,True,0,0,0
balanced-full,measurement,alder1982,0.31123852383500555,True,0,0,15
balanced-full,measurement,regan_1994_cvd_ellipses,0.23988218403031275,True,0,0,0
balanced-full,measurement,koenderink_2026_3d_metric_field,0.38423843431984944,True,0,0,0
balanced-full,measurement,brown_1957_12obs_ellipsoids,0.4206113591435414,False,0,191,29
balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3381988372380396,False,0,41,0
balanced-full,measurement,brown_macadam_1949_ellipsoids,0.33400226349832207,False,0,378,138
balanced-full,measurement,huang_2012_cielab_ellipses,0.3205523797279415,True,0,0,0
balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.36029877906816504,True,0,0,0
balanced-full,measurement,hong_2025_ellipsoids,0.31634899782684983,True,0,0,0
balanced-full,measurement,bfd,33.80098264048391,True,,,
balanced-full,measurement,leeds,27.778235542003788,True,,,
balanced-full,measurement,witt,25.254440618567624,True,,,
balanced-full,measurement,rit,32.529186992445815,True,,,
balanced-full,measurement,macadam,32.48371821607352,True,0,0,0
metric-full,generation,hung_berns,,False,0,5,0
metric-full,generation,ebner_fairchild,2.242868894705369,True,0,0,0
metric-full,generation,munsell,3.8162200642434194,True,0,0,0
metric-full,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
metric-full,generation,osa_ucs_1974,0.2868402269190373,True,0,0,0
metric-full,measurement,macadam1942,0.3328905628129127,True,0,0,25
metric-full,measurement,luo_rigg_ellipses,0.3212135659322202,True,0,0,0
metric-full,measurement,alder1982,0.3288729195965535,True,0,0,15
metric-full,measurement,regan_1994_cvd_ellipses,0.2392759841745803,True,0,0,0
metric-full,measurement,koenderink_2026_3d_metric_field,0.3922525509974045,True,0,0,0
metric-full,measurement,brown_1957_12obs_ellipsoids,0.4954508118323974,False,0,191,29
metric-full,measurement,wyszecki_fielder_1971_ellipsoids,0.34687415589201387,False,0,41,0
metric-full,measurement,brown_macadam_1949_ellipsoids,0.3231089453000469,False,0,378,138
metric-full,measurement,huang_2012_cielab_ellipses,0.31436334661713744,True,0,0,0
metric-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3600352587789814,True,0,0,0
metric-full,measurement,hong_2025_ellipsoids,0.32033923464589686,True,0,0,0
metric-full,measurement,bfd,31.670834350672024,True,,,
metric-full,measurement,leeds,27.290987310802805,True,,,
metric-full,measurement,witt,23.535872192223643,True,,,
metric-full,measurement,rit,31.038974728446693,True,,,
metric-full,measurement,macadam,29.690125919012424,True,0,0,0
balanced-full-clip,generation,hung_berns,3.397949177217452,False,5,0,0
balanced-full-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
balanced-full-clip,generation,munsell,3.8162200642434185,True,0,0,0
balanced-full-clip,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
balanced-full-clip,generation,osa_ucs_1974,0.281138030611101,True,0,0,0
balanced-full-clip,measurement,macadam1942,0.3036283412268934,True,0,0,25
balanced-full-clip,measurement,luo_rigg_ellipses,0.3036287002806525,True,0,0,0
balanced-full-clip,measurement,alder1982,0.31123852383500555,True,0,0,15
balanced-full-clip,measurement,regan_1994_cvd_ellipses,0.23988218403031275,True,0,0,0
balanced-full-clip,measurement,koenderink_2026_3d_metric_field,0.38423843431984944,True,0,0,0
balanced-full-clip,measurement,brown_1957_12obs_ellipsoids,0.3697422191468069,False,191,0,80
balanced-full-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.330090777218417,False,41,0,0
balanced-full-clip,measurement,brown_macadam_1949_ellipsoids,0.3738405559140574,False,378,0,187
balanced-full-clip,measurement,huang_2012_cielab_ellipses,0.3205523797279415,True,0,0,0
balanced-full-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.36029877906816504,True,0,0,0
balanced-full-clip,measurement,hong_2025_ellipsoids,0.31634899782684983,True,0,0,0
balanced-full-clip,measurement,bfd,33.80098264048391,True,,,
balanced-full-clip,measurement,leeds,27.778235542003788,True,,,
balanced-full-clip,measurement,witt,25.254440618567624,True,,,
balanced-full-clip,measurement,rit,32.529186992445815,True,,,
balanced-full-clip,measurement,macadam,32.48371821607352,True,0,0,0
metric-full-clip,generation,hung_berns,3.397949177217452,False,5,0,0
metric-full-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
metric-full-clip,generation,munsell,3.8162200642434194,True,0,0,0
metric-full-clip,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
metric-full-clip,generation,osa_ucs_1974,0.2868402269190373,True,0,0,0
metric-full-clip,measurement,macadam1942,0.3328905628129127,True,0,0,25
metric-full-clip,measurement,luo_rigg_ellipses,0.3212135659322202,True,0,0,0
metric-full-clip,measurement,alder1982,0.3288729195965535,True,0,0,15
metric-full-clip,measurement,regan_1994_cvd_ellipses,0.2392759841745803,True,0,0,0
metric-full-clip,measurement,koenderink_2026_3d_metric_field,0.3922525509974045,True,0,0,0
metric-full-clip,measurement,brown_1957_12obs_ellipsoids,0.37118586729757946,False,191,0,80
metric-full-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.33981170270640093,False,41,0,0
metric-full-clip,measurement,brown_macadam_1949_ellipsoids,0.35936974037439334,False,378,0,187
metric-full-clip,measurement,huang_2012_cielab_ellipses,0.31436334661713744,True,0,0,0
metric-full-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3600352587789814,True,0,0,0
metric-full-clip,measurement,hong_2025_ellipsoids,0.32033923464589686,True,0,0,0
metric-full-clip,measurement,bfd,31.670834350672024,True,,,
metric-full-clip,measurement,leeds,27.290987310802805,True,,,
metric-full-clip,measurement,witt,23.535872192223643,True,,,
metric-full-clip,measurement,rit,31.038974728446693,True,,,
metric-full-clip,measurement,macadam,29.690125919012424,True,0,0,0
