observer,retinal_illuminance_Td,hue,Pe,x_JV,y_JV
TN,1000,RB,1.0,0.212,0.031
TN,1000,B,1.0,0.129,0.062
TN,1000,GB,1.0,0.037,0.348
TN,1000,G,1.0,0.032,0.372
TN,1000,GY,1.0,0.216,0.764
TN,1000,Y,1.0,0.445,0.554
TN,1000,RY,1.0,0.663,0.336
TN,1000,R,1.0,0.61,0.217
TN,1000,RB,0.9,0.253,0.074
TN,1000,B,0.9,0.135,0.118
TN,1000,GB,0.9,0.07,0.342
TN,1000,G,0.9,0.068,0.352
TN,1000,GY,0.9,0.224,0.723
TN,1000,Y,0.9,0.433,0.533
TN,1000,RY,0.9,0.631,0.336
TN,1000,R,0.9,0.522,0.2
TN,1000,RB,0.8,0.274,0.108
TN,1000,B,0.8,0.149,0.163
TN,1000,GB,0.8,0.1,0.331
TN,1000,G,0.8,0.098,0.344
TN,1000,GY,0.8,0.227,0.686
TN,1000,Y,0.8,0.419,0.513
TN,1000,RY,0.8,0.584,0.349
TN,1000,R,0.8,0.465,0.198
TN,1000,RB,0.7,0.267,0.129
TN,1000,B,0.7,0.17,0.188
TN,1000,GB,0.7,0.13,0.32
TN,1000,G,0.7,0.129,0.331
TN,1000,GY,0.7,0.231,0.648
TN,1000,Y,0.7,0.405,0.494
TN,1000,RY,0.7,0.549,0.351
TN,1000,R,0.7,0.428,0.206
TN,1000,RB,0.6,0.275,0.159
TN,1000,B,0.6,0.19,0.216
TN,1000,GB,0.6,0.16,0.319
TN,1000,G,0.6,0.157,0.343
TN,1000,GY,0.6,0.245,0.604
TN,1000,Y,0.6,0.39,0.474
TN,1000,RY,0.6,0.514,0.352
TN,1000,R,0.6,0.404,0.219
TN,1000,RB,0.5,0.275,0.182
TN,1000,B,0.5,0.212,0.24
TN,1000,GB,0.5,0.188,0.329
TN,1000,G,0.5,0.187,0.337
TN,1000,GY,0.5,0.255,0.562
TN,1000,Y,0.5,0.378,0.454
TN,1000,RY,0.5,0.487,0.347
TN,1000,R,0.5,0.385,0.233
TN,1000,RB,0.4,0.278,0.212
TN,1000,B,0.4,0.234,0.266
TN,1000,GB,0.4,0.217,0.332
TN,1000,G,0.4,0.216,0.335
TN,1000,GY,0.4,0.261,0.522
TN,1000,Y,0.4,0.364,0.435
TN,1000,RY,0.4,0.456,0.344
TN,1000,R,0.4,0.375,0.253
TN,1000,RB,0.3,0.284,0.239
TN,1000,B,0.3,0.258,0.287
TN,1000,GB,0.3,0.245,0.336
TN,1000,G,0.3,0.244,0.337
TN,1000,GY,0.3,0.267,0.479
TN,1000,Y,0.3,0.349,0.416
TN,1000,RY,0.3,0.435,0.331
TN,1000,R,0.3,0.363,0.273
TN,1000,B,0.2,0.282,0.305
TN,1000,G,0.2,0.272,0.35
TN,1000,Y,0.2,0.336,0.396
TN,1000,RY,0.2,0.408,0.325
TN,1000,R,0.2,0.357,0.296
MA,10,RB,1.0,0.227,0.038
MA,10,B,1.0,0.127,0.066
MA,10,GB,1.0,0.004,0.661
MA,10,G,1.0,0.091,0.834
MA,10,GY,1.0,0.403,0.596
MA,10,Y,1.0,0.544,0.456
MA,10,RY,1.0,0.634,0.365
MA,10,R,1.0,0.61,0.217
MA,10,RB,0.9,0.218,0.058
MA,10,B,0.9,0.134,0.122
MA,10,GB,0.9,0.047,0.693
MA,10,G,0.9,0.149,0.768
MA,10,GY,0.9,0.4,0.564
MA,10,Y,0.9,0.524,0.441
MA,10,RY,0.9,0.608,0.359
MA,10,R,0.9,0.563,0.219
MA,10,RB,0.8,0.227,0.087
MA,10,B,0.8,0.152,0.156
MA,10,GB,0.8,0.075,0.64
MA,10,G,0.8,0.158,0.723
MA,10,GY,0.8,0.385,0.546
MA,10,Y,0.8,0.505,0.427
MA,10,RY,0.8,0.589,0.343
MA,10,R,0.8,0.506,0.218
MA,10,RB,0.7,0.222,0.109
MA,10,B,0.7,0.166,0.196
MA,10,GB,0.7,0.111,0.629
MA,10,G,0.7,0.187,0.672
MA,10,GY,0.7,0.376,0.521
MA,10,Y,0.7,0.485,0.415
MA,10,RY,0.7,0.566,0.333
MA,10,R,0.7,0.46,0.221
MA,10,RB,0.6,0.232,0.145
MA,10,B,0.6,0.183,0.238
MA,10,GB,0.6,0.155,0.604
MA,10,G,0.6,0.203,0.623
MA,10,GY,0.6,0.367,0.498
MA,10,Y,0.6,0.466,0.399
MA,10,RY,0.6,0.547,0.319
MA,10,R,0.6,0.426,0.228
MA,10,RB,0.5,0.238,0.189
MA,10,B,0.5,0.202,0.277
MA,10,GB,0.5,0.186,0.561
MA,10,G,0.5,0.216,0.582
MA,10,GY,0.5,0.356,0.475
MA,10,Y,0.5,0.446,0.386
MA,10,RY,0.5,0.525,0.309
MA,10,R,0.5,0.418,0.249
