gamut,family,H,balancedCV,metricCV,balancedJump,metricJump
srgb,black,0,0.32305424150854767,0.33439292797386594,0.029934269981893764,0.03938388322308876
srgb,black,5,0.30661533794860063,0.35576601055203383,0.030165481992809835,0.04810951321608979
srgb,black,10,0.31264638341633233,0.32194135585458644,0.02844124887822242,0.04044667221642138
srgb,black,15,0.29017665402760884,0.29663051321433637,0.0262696203286987,0.03510197101106774
srgb,black,20,0.284080640910696,0.3016556462984827,0.02654976056834254,0.03822430421318688
srgb,black,25,0.32664264431113954,0.3091237061637867,0.029721557353226437,0.043151329664591606
srgb,black,30,0.3593123354659125,0.33181918877742494,0.03261388680993495,0.04626501628110911
srgb,black,35,0.37019326088776194,0.32729318403121793,0.03283891672767451,0.04515034355305854
srgb,black,40,0.3601296323178457,0.3288305138652354,0.028376037487989843,0.03927775687033929
srgb,black,45,0.3502449649045133,0.36587161365712406,0.02662638942038075,0.03464745548916191
srgb,black,50,0.3378582690820607,0.3482496588841658,0.025584361008795315,0.03375649121546159
srgb,black,55,0.31056606278381454,0.3068494168869201,0.024863131001133496,0.027298235610192723
srgb,black,60,0.27710686137287105,0.3056185185091892,0.023715764380003345,0.028147636265699844
srgb,black,65,0.2664700525660598,0.34272814615663827,0.02282990642908134,0.028730806045694873
srgb,black,70,0.27996381896320977,0.35550925265344563,0.023846498425915068,0.027833761452401233
srgb,black,75,0.2964486298347561,0.28969682092292376,0.02519033251945487,0.025309247285180414
srgb,black,80,0.28500138680974524,0.19864419098052313,0.02570574435781517,0.02319490419786769
srgb,black,85,0.24919783332491763,0.18093531811037966,0.02555479881651395,0.021711705955250425
srgb,black,90,0.2215891113389437,0.18625123452456077,0.024885592832793593,0.02048757605585253
srgb,black,95,0.21335499926545937,0.19897409239746428,0.02448159729813736,0.022909776909703514
srgb,black,100,0.23365513861379897,0.21654317294275466,0.025224371483798236,0.026003943678744784
srgb,black,105,0.2739733723920591,0.20699891290803502,0.028197723122635188,0.026953175473635328
srgb,black,110,0.30335108936981425,0.1779115230367585,0.03009542449684264,0.02533889164013815
srgb,black,115,0.31335892512113656,0.1656888371537695,0.03030615243756622,0.025135993516606635
