model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
balanced-full,measurement,macadam1942,0.34671393288659486,True,0,0,25
balanced-full,measurement,luo_rigg_ellipses,0.3247715989584314,True,0,0,0
balanced-full,measurement,alder1982,0.328289719370738,True,0,0,15
balanced-full,measurement,regan_1994_cvd_ellipses,0.23163498092495668,True,0,0,0
balanced-full,measurement,koenderink_2026_3d_metric_field,0.3864784044695207,True,0,0,0
balanced-full,measurement,brown_1957_12obs_ellipsoids,0.3418957066823843,False,0,191,29
balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.33732383551027034,False,0,41,0
balanced-full,measurement,brown_macadam_1949_ellipsoids,0.3102869344268954,False,0,378,138
balanced-full,measurement,huang_2012_cielab_ellipses,0.30952184838015834,True,0,0,0
balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.34286556047979416,True,0,0,0
balanced-full,measurement,hong_2025_ellipsoids,0.3014736773395226,True,0,0,0
balanced-full,measurement,bfd,33.085089047696506,True,,,
balanced-full,measurement,leeds,27.23144712832876,True,,,
balanced-full,measurement,witt,22.725494855828074,True,,,
balanced-full,measurement,rit,29.564720240820293,True,,,
balanced-full,measurement,macadam,32.80250387056694,True,0,0,0
gentle-full,generation,hung_berns,,False,0,5,0
gentle-full,generation,ebner_fairchild,2.242868894705369,True,0,0,0
gentle-full,generation,munsell,3.8162200642434185,True,0,0,0
gentle-full,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
gentle-full,generation,osa_ucs_1974,0.2750899018149533,True,0,0,0
gentle-full,measurement,macadam1942,0.3327515634216961,True,0,0,25
gentle-full,measurement,luo_rigg_ellipses,0.3121094261945969,True,0,0,0
gentle-full,measurement,alder1982,0.3205992192987287,True,0,0,15
gentle-full,measurement,regan_1994_cvd_ellipses,0.22726530261495476,True,0,0,0
gentle-full,measurement,koenderink_2026_3d_metric_field,0.39018061762813794,True,0,0,0
gentle-full,measurement,brown_1957_12obs_ellipsoids,0.35611332343769275,False,0,191,29
gentle-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3320684290802479,False,0,41,0
gentle-full,measurement,brown_macadam_1949_ellipsoids,0.30802794382287574,False,0,378,138
