model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
old-balanced-full,generation,munsell,3.8162200642434123,True,0,0,0
old-balanced-full,generation,xiao_unique_hues,1.742565970982971,True,0,0,0
old-balanced-full,generation,osa_ucs_1974,0.281138030611101,True,0,0,0
old-balanced-full,measurement,macadam1942,0.30362834122689486,True,0,0,25
old-balanced-full,measurement,luo_rigg_ellipses,0.30362870028065314,True,0,0,0
old-balanced-full,measurement,alder1982,0.3112385238350051,True,0,0,15
old-balanced-full,measurement,regan_1994_cvd_ellipses,0.23988218403031275,True,0,0,0
old-balanced-full,measurement,koenderink_2026_3d_metric_field,0.38423843431984955,True,0,0,0
old-balanced-full,measurement,brown_1957_12obs_ellipsoids,0.4206113591435416,False,0,191,29
old-balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3381988372380396,False,0,41,0
old-balanced-full,measurement,brown_macadam_1949_ellipsoids,0.33400226349832207,False,0,378,138
old-balanced-full,measurement,huang_2012_cielab_ellipses,0.32055237972794015,True,0,0,0
old-balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3602987790681641,True,0,0,0
old-balanced-full,measurement,hong_2025_ellipsoids,0.3163489978268494,True,0,0,0
old-balanced-full,measurement,bfd,33.80098264048385,True,,,
old-balanced-full,measurement,leeds,27.778235542003504,True,,,
old-balanced-full,measurement,witt,25.254440618566832,True,,,
old-balanced-full,measurement,rit,32.52918699244562,True,,,
old-balanced-full,measurement,macadam,32.48371821607352,True,0,0,0
old-metric-full,generation,hung_berns,,False,0,5,0
old-metric-full,generation,ebner_fairchild,2.242868894705369,True,0,0,0
old-metric-full,generation,munsell,3.8162200642434128,True,0,0,0
old-metric-full,generation,xiao_unique_hues,1.742565970982971,True,0,0,0
old-metric-full,generation,osa_ucs_1974,0.2868402269190373,True,0,0,0
old-metric-full,measurement,macadam1942,0.3328905628129003,True,0,0,25
old-metric-full,measurement,luo_rigg_ellipses,0.32121356593222067,True,0,0,0
old-metric-full,measurement,alder1982,0.32887291959655274,True,0,0,15
old-metric-full,measurement,regan_1994_cvd_ellipses,0.2392759841745803,True,0,0,0
old-metric-full,measurement,koenderink_2026_3d_metric_field,0.39225255099740514,True,0,0,0
old-metric-full,measurement,brown_1957_12obs_ellipsoids,0.49545081183239753,False,0,191,29
old-metric-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3468741558920139,False,0,41,0
old-metric-full,measurement,brown_macadam_1949_ellipsoids,0.3231089453000469,False,0,378,138
old-metric-full,measurement,huang_2012_cielab_ellipses,0.31436334661713816,True,0,0,0
old-metric-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3600352587789809,True,0,0,0
